上海电信,#genre#
CCTV1,http://www.rogerxlj.top:9998/rtp/233.18.204.20:5140
CCTV1,http://www.rogerxlj.top:9998/rtp/233.18.204.52:5140
CCTV2,http://www.rogerxlj.top:9998/rtp/233.18.204.21:5140
CCTV2,http://www.rogerxlj.top:9998/rtp/233.18.204.68:5140
CCTV3,http://www.rogerxlj.top:9998/rtp/233.18.204.22:5140
CCTV3,http://www.rogerxlj.top:9998/rtp/233.18.204.69:5140
CCTV4,http://www.rogerxlj.top:9998/rtp/233.18.204.23:5140
CCTV4,http://www.rogerxlj.top:9998/rtp/233.18.204.70:5140
CCTV5,http://www.rogerxlj.top:9998/rtp/233.18.204.24:5140
CCTV5,http://www.rogerxlj.top:9998/rtp/233.18.204.71:5140
CCTV5+,http://www.rogerxlj.top:9998/rtp/233.18.204.67:5140
CCTV6,http://www.rogerxlj.top:9998/rtp/233.18.204.25:5140
CCTV6,http://www.rogerxlj.top:9998/rtp/233.18.204.72:5140
CCTV7,http://www.rogerxlj.top:9998/rtp/233.18.204.26:5140
CCTV7,http://www.rogerxlj.top:9998/rtp/233.18.204.73:5140
CCTV8,http://www.rogerxlj.top:9998/rtp/233.18.204.27:5140
CCTV8,http://www.rogerxlj.top:9998/rtp/233.18.204.74:5140
CCTV9,http://www.rogerxlj.top:9998/rtp/233.18.204.40:5140
CCTV9,http://www.rogerxlj.top:9998/rtp/233.18.204.75:5140
CCTV10,http://www.rogerxlj.top:9998/rtp/233.18.204.29:5140
CCTV10,http://www.rogerxlj.top:9998/rtp/233.18.204.76:5140
CCTV11,http://www.rogerxlj.top:9998/rtp/233.18.204.30:5140
CCTV11,http://www.rogerxlj.top:9998/rtp/233.18.204.77:5140
CCTV12,http://www.rogerxlj.top:9998/rtp/233.18.204.31:5140
CCTV12,http://www.rogerxlj.top:9998/rtp/233.18.204.78:5140
CCTV13,http://www.rogerxlj.top:9998/rtp/233.18.204.32:5140
CCTV13,http://www.rogerxlj.top:9998/rtp/233.18.204.79:5140
